theta,A2,a,b,z,phi,status
30.0,-20.0,12.9,5.3,2.8,30.0,NotYet
30.0,-20.0,12.9,5.3,2.8,40.0,NotYet
30.0,-20.0,12.9,5.3,2.8,50.0,NotYet
30.0,-20.0,12.9,5.3,2.8,60.0,NotYet
30.0,-20.0,12.9,5.3,2.8,70.0,NotYet
30.0,-20.0,12.9,5.3,2.8,80.0,NotYet
30.0,-20.0,12.9,5.3,2.8,90.0,NotYet
30.0,-20.0,12.9,5.3,2.8,100.0,NotYet
30.0,-20.0,12.9,5.3,2.8,110.0,NotYet
30.0,-20.0,12.9,5.1,3.0,0.0,NotYet
30.0,-20.0,12.9,5.1,3.0,10.0,NotYet
30.0,-20.0,12.9,5.1,3.0,20.0,NotYet
30.0,-20.0,12.9,5.1,3.0,30.0,NotYet
30.0,-20.0,12.9,5.1,3.0,40.0,NotYet
30.0,-20.0,12.9,5.1,3.0,50.0,NotYet
30.0,-20.0,12.9,5.1,3.0,60.0,NotYet
30.0,-20.0,12.9,5.1,3.0,70.0,NotYet
30.0,-20.0,12.9,5.1,3.0,80.0,NotYet
30.0,-20.0,12.9,5.1,3.0,90.0,NotYet
30.0,-20.0,12.9,5.1,3.0,100.0,NotYet
30.0,-20.0,12.9,5.1,3.0,110.0,NotYet
30.0,-20.0,12.9,5.2,3.2,0.0,NotYet
30.0,-20.0,12.9,5.2,3.2,10.0,NotYet
30.0,-20.0,12.9,5.2,3.2,20.0,NotYet
30.0,-20.0,12.9,5.2,3.2,30.0,NotYet
30.0,-20.0,12.9,5.2,3.2,40.0,NotYet
30.0,-20.0,12.9,5.2,3.2,50.0,NotYet
30.0,-20.0,12.9,5.2,3.2,60.0,NotYet
30.0,-20.0,12.9,5.2,3.2,70.0,NotYet
30.0,-20.0,12.9,5.2,3.2,80.0,NotYet
30.0,-20.0,12.9,5.2,3.2,90.0,NotYet
30.0,-20.0,12.9,5.2,3.2,100.0,NotYet
30.0,-20.0,12.9,5.2,3.2,110.0,NotYet
30.0,-20.0,12.8,5.3,3.4,0.0,NotYet
30.0,-20.0,12.8,5.3,3.4,10.0,NotYet
30.0,-20.0,12.8,5.3,3.4,20.0,NotYet
30.0,-20.0,12.8,5.3,3.4,30.0,NotYet
30.0,-20.0,12.8,5.3,3.4,40.0,NotYet
30.0,-20.0,12.8,5.3,3.4,50.0,NotYet
30.0,-20.0,12.8,5.3,3.4,60.0,NotYet
30.0,-20.0,12.8,5.3,3.4,70.0,NotYet
30.0,-20.0,12.8,5.3,3.4,80.0,NotYet
30.0,-20.0,12.8,5.3,3.4,90.0,NotYet
30.0,-20.0,12.8,5.3,3.4,100.0,NotYet
30.0,-20.0,12.8,5.3,3.4,110.0,NotYet
30.0,-20.0,12.9,5.4,3.6,0.0,NotYet
30.0,-20.0,12.9,5.4,3.6,10.0,NotYet
30.0,-20.0,12.9,5.4,3.6,20.0,NotYet
30.0,-20.0,12.9,5.4,3.6,30.0,NotYet
30.0,-20.0,12.9,5.4,3.6,40.0,NotYet
30.0,-20.0,12.9,5.4,3.6,50.0,NotYet
30.0,-20.0,12.9,5.4,3.6,60.0,NotYet
30.0,-20.0,12.9,5.4,3.6,70.0,NotYet
30.0,-20.0,12.9,5.4,3.6,80.0,NotYet
30.0,-20.0,12.9,5.4,3.6,90.0,NotYet
30.0,-20.0,12.9,5.4,3.6,100.0,NotYet
30.0,-20.0,12.9,5.4,3.6,110.0,NotYet
30.0,-20.0,14.6,5.6,3.8,0.0,NotYet
30.0,-20.0,14.6,5.6,3.8,10.0,NotYet
30.0,-20.0,14.6,5.6,3.8,20.0,NotYet
30.0,-20.0,14.6,5.6,3.8,30.0,NotYet
30.0,-20.0,14.6,5.6,3.8,40.0,NotYet
30.0,-20.0,14.6,5.6,3.8,50.0,NotYet
30.0,-20.0,14.6,5.6,3.8,60.0,NotYet
30.0,-20.0,14.6,5.6,3.8,70.0,NotYet
30.0,-20.0,14.6,5.6,3.8,80.0,NotYet
30.0,-20.0,14.6,5.6,3.8,90.0,NotYet
30.0,-20.0,14.6,5.6,3.8,100.0,NotYet
30.0,-20.0,14.6,5.6,3.8,110.0,NotYet
30.0,-20.0,14.6,5.6,4.0,0.0,NotYet
30.0,-20.0,14.6,5.6,4.0,10.0,NotYet
30.0,-20.0,14.6,5.6,4.0,20.0,NotYet
30.0,-20.0,14.6,5.6,4.0,30.0,NotYet
30.0,-20.0,14.6,5.6,4.0,40.0,NotYet
30.0,-20.0,14.6,5.6,4.0,50.0,NotYet
30.0,-20.0,14.6,5.6,4.0,60.0,NotYet
30.0,-20.0,14.6,5.6,4.0,70.0,NotYet
30.0,-20.0,14.6,5.6,4.0,80.0,NotYet
30.0,-20.0,14.6,5.6,4.0,90.0,NotYet
30.0,-20.0,14.6,5.6,4.0,100.0,NotYet
30.0,-20.0,14.6,5.6,4.0,110.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,0.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,10.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,20.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,30.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,40.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,50.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,60.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,70.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,80.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,90.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,100.0,NotYet
30.0,-18.0,9.7,6.7,-4.0,110.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,0.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,10.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,20.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,30.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,40.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,50.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,60.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,70.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,80.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,90.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,100.0,NotYet
30.0,-18.0,9.6,6.7,-3.8,110.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,0.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,10.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,20.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,30.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,40.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,50.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,60.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,70.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,80.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,90.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,100.0,NotYet
30.0,-18.0,9.4,7.5,-0.8,110.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,0.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,10.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,20.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,30.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,40.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,50.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,60.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,70.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,80.0,NotYet
30.0,-18.0,9.4,7.8,-0.6,90.0,NotYet
